45kV,55kV,65kV,75kV,85kV,95kV,105kV,115kV,125kV,135kV
9.6521590055,15.3431361771,22.5675030081,31.4069492471,41.9348376694,54.2180234475,68.3181112055,84.2923642201,102.1943857789,122.0746444869
11.2185454319,17.7150685512,25.9126512091,35.8920210468,47.7253025379,61.477929471,77.2099602138,94.97702517,114.8310342586,136.8207205986
13.4163590236,21.0225772523,30.5535728349,42.0877368065,55.6946853451,71.4372491235,89.3728340576,109.5543969156,132.0311707794,
15.2652862474,22.8188069277,31.8884723084,42.4751224873,54.5794765603,68.2021632507,83.3437411785,100.0047129793,118.1855355394,
16.8703260585,24.9224858758,34.4881393755,45.5532621126,58.1059598772,72.1359156665,87.6340267327,104.5921535679,123.0029391199,
16.5555936899,24.6024130975,34.2130250102,45.3806145941,58.099375367,72.3642506888,88.1707633955,105.5148975476,124.3930129912,144.8017816144
17.66685804,26.2732830512,36.5591623334,48.5182147999,62.1450856332,77.4351091963,94.3841527026,112.988507657,133.2448113886,
9.61386533,15.0292725969,21.800782039,29.9808837797,39.6161077442,50.7483827969,63.4159648973,77.6541016108,93.4955256135,110.9708320889
14.0491639617,21.1242793306,29.6647054726,39.6784525089,51.1724083234,64.1526189975,78.6244751575,94.5928422525,112.0621552844,
16.8177342622,24.6986875534,34.0110386713,44.734540448,56.8521002746,70.348950982,85.2121089439,101.4300006571,118.9921946617,137.8892026866
10.9447273043,16.9210328306,24.3192452872,33.1807860572,43.5420566182,55.4356148076,68.8909718747,83.9351592731,100.5931470713,118.8881621974
18.0832621992,26.7984273834,37.181230233,49.2205679525,62.9070010072,78.2323241911,95.1892844949,113.7713856101,133.9727468901,
17.0151374676,25.364519681,35.3647922743,47.0130669186,60.3068766237,75.2440684458,91.8227326216,110.0411532873,129.8977728097,
19.7127099214,28.8021643918,39.4926900705,51.754876238,65.5639939977,80.8987526666,97.7404899069,116.0726153999,135.8802125679,
15.3777465578,22.9406901102,32.0051232452,42.5693506346,54.6319234165,68.1915765343,83.2471873285,99.7977467268,117.8423383845,
16.3582440846,24.1005848712,33.2756213951,43.86686212,55.8603501303,69.2440013633,84.0071711184,100.1403547554,117.6349724517,
17.3204747189,25.6984932786,35.690375522,47.2869691321,60.4804856296,75.2641495457,91.6319674722,109.578567914,129.0990856773,
18.7493309248,27.70091544,38.3359486124,50.6389612017,64.5968327018,80.1981817086,97.432965792,116.2922047543,136.767781308,158.8522927912
17.8283259363,25.9867720697,35.5615458142,46.5238530065,58.8495284116,72.5178001609,87.5104864758,103.8114446779,121.4061772431,140.281540655
10.6265612091,16.4870979235,23.7651608076,32.5063400108,42.7508108664,54.534591916,67.8903994703,82.8482566049,99.4359435858,117.6793410532
18.2893718461,26.6928219674,36.5665440791,47.8821865232,60.6159316422,74.7472886948,90.2583083884,107.133043684,125.357164015,
15.4421252584,23.427762197,33.1458542351,44.6189721338,57.8666609171,72.9061809001,89.7530032105,108.421158116,128.9234895438,151.2718468948
16.618387407,24.5278271972,33.9161401628,44.7685002852,57.0723425474,70.8167748245,85.9921921559,102.5900101289,120.6024729538,140.0225107529
15.7999284791,23.4431174897,32.5588547835,43.1388243546,55.1759492531,68.6640728761,83.5977491568,99.9720970718,117.7826956087,137.0255054645
13.8276328228,20.8478765114,29.3429941132,39.3244280686,50.8020386782,63.7844970736,78.2795468444,94.2941872489,111.8348066323,111.8348066323
11.0931272946,17.0525202326,24.3916475463,33.1439263257,43.3385927568,55.0016952823,68.1567648804,82.8252900424,99.0270663183,116.7804614409
17.326943791,25.5292756056,35.2499429307,46.4715425714,59.1793453877,73.3605982079,89.004066528,106.0997187599,124.6384991499,144.6121590704
14.6916126944,22.0653258245,30.9570888965,41.3737593835,53.3212288028,66.8046647021,81.8286713307,98.3974018884,116.5146400965,
15.2891532276,22.4219050172,30.8393081044,40.5216849582,51.4524423401,63.6172582628,77.0035511334,91.6001142601,107.3968536651,124.3845937365
14.2889125322,21.4857705522,30.1735216692,40.3603745421,52.0533880355,65.2587585101,79.9820107339,96.2281313524,114.0016659432,133.3067918428
15.8860995932,23.4519945004,32.4342580935,42.8189404034,54.5942168953,67.749835869,82.2767559672,98.1668955864,115.4129524692,134.0082695437
15.0435182925,22.9337565605,32.5779321009,44.0060971597,57.2443739379,72.315906472,89.2414993196,108.0400678542,128.7289681564,151.3242462195
16.2790344332,23.5938670771,32.1343951274,41.8699910609,52.7750653875,64.8277063602,78.0087991491,92.3014237628,107.6904259052,
15.7723670901,23.47728576,32.6933501917,43.416057572,55.6415663755,69.3665274324,84.5879724679,101.303236658,119.5099026245,139.2057586182
15.1512512438,22.6484429689,31.6505081365,42.1582860195,54.1724950103,67.6937632191,82.7226487222,99.2596536673,117.3052344983,136.8598096042
16.1582411029,24.1391475704,33.7167846688,44.8912369503,57.6625767549,72.0308673056,87.996164756,105.5585196163,124.7179777858,145.4745813262
17.771304096,26.3645218361,36.6120464514,48.5043464771,62.0333114756,77.1918864139,93.9738309914,112.3735527619,132.3859866706,154.0065052555
10.5770614895,17.0104463495,25.2637759297,35.4527211265,47.6821095042,62.0482215357,78.6403901242,97.5421657521,118.8321951726,142.5849027075
14.3155601493,22.2806769527,32.2006192911,44.1435730709,58.1697736162,74.3333386403,92.6835161113,113.2655752494,136.1214666521,
14.6268327313,22.318830649,31.7284519448,42.8864561348,55.8195992232,70.5516013397,87.1037964098,105.495590452,125.7447974957,
12.441659048,19.2833632778,27.7720040439,37.959089573,49.8899739231,63.6052903651,79.141924357,96.5337064924,115.811924732,115.811924732
13.398376362,21.094650281,30.780145366,42.5441229993,56.4661479989,72.6182605846,91.066467001,111.8718113563,135.0911746969,160.777888196
15.0363739223,23.4881278677,34.048966288,46.7991162442,61.8096523558,79.1445878922,98.8623020107,121.0165611017,145.657276984,172.8310864995
10.8350200769,16.8835715673,24.4246602586,33.5118755411,44.1926019925,56.5094457006,70.5012060932,86.2035703445,103.6496281785,
15.3859622322,23.4344342093,33.2638989145,44.903492514,58.3785228898,73.7113988254,90.922253063,110.0293813361,131.0495638506,
14.2247170769,21.350322691,29.9378813178,39.9932052992,51.5212857223,64.5264984488,79.0127408506,94.9835272981,112.4420585281,
16.6300574453,24.5428970486,33.9344983062,44.7899287757,57.0965341152,70.8433454177,86.0206905183,102.6199253422,120.6332405244,
14.7039822384,22.01949246,30.8177581254,41.1018434702,52.8743750887,66.137652276,80.8937201423,97.1444206003,114.8914293598,134.1362836307
16.3831823058,24.1480985993,33.3536102158,43.9836665786,56.0246792123,69.4648795106,84.2938979086,100.5024732461,118.0822437048,
10.7531641047,16.5670647853,23.7415772029,32.3122701366,42.3103168497,53.7635336799,66.6970820821,81.1339667984,97.0954029172,114.6010945864
14.4140684098,21.5374949556,30.087537588,40.0644937837,51.4686180907,64.3001330047,78.5592361642,94.246105362,111.3609021761,129.9037746868
14.8732135282,22.3891357672,31.4711505908,42.1293389315,54.3723771846,68.2078872878,83.6426695373,100.6828654662,119.3340763543,139.6014522024
10.7013176824,16.5665135201,23.8358405654,32.5517923521,42.7517509875,54.4691810629,67.7344394081,82.5753513809,99.0176365924,117.085232923
19.1476146382,28.6839239578,40.1567412038,53.5706347245,68.9295214745,86.2368311251,105.4956148321,126.7086211033,149.8783508551,175.0070986489
10.3129655334,16.5161628452,24.4440047006,34.1996905821,45.8764400927,59.5596306136,75.3282819905,93.2561352657,113.4124643512,135.8627040767
14.4194600572,21.6550768281,30.379764615,40.6001631716,52.3219766546,65.5502080404,80.2893147629,96.5433174415,114.3158788901,133.6103633666
11.1716499556,17.2155809205,24.6754350517,33.58849272,43.9874328511,55.9014196064,69.3568370454,84.3778105132,100.9865908516,119.2038461666
18.1918817475,26.9782585264,37.4525360499,49.6044581356,63.4253002593,78.9074751492,96.0442732364,114.8296827296,135.2582597602,157.3250316004
15.6251626356,23.3435779621,32.6064980762,43.4140494781,55.7663404001,69.6634654366,85.105508606,102.0925454843,120.6246447499,140.7018693398
14.4477273389,21.8459065335,30.8218512822,41.3916528528,53.5692089873,67.3667652014,82.7952758983,99.8646576955,118.5839741917,138.9615749868
12.2568048538,18.7739196685,26.7738876848,36.2880821193,47.3438742476,59.9655921096,74.1751659101,89.9925843647,107.4362298827,
14.7222865188,22.2274875407,31.3208397899,42.0165176457,54.3267488313,68.2622964254,83.8327800839,101.0469011727,119.9126068377,140.4372133604
18.418984758,27.1436562006,37.4852123516,49.4253857791,62.9487134975,78.0418051454,94.692863518,112.8913534699,132.627763772,
17.6482506383,26.593680292,37.413089639,50.1201552859,64.72665775,81.2429529834,99.6782861777,120.0410114403,142.3387517194,166.5785189306
15.2573999721,23.1173734932,32.6712612704,43.9392644531,56.9388583083,71.6854617904,88.1928848698,106.4736427317,126.5391851964,148.4000695081
17.2933349676,26.2812245564,37.2359661596,50.1860357258,65.1561248432,82.1680639498,101.241440421,122.3940335103,145.6421324511,171.0007763895
11.0994008555,17.8799451597,26.5916177948,37.3599802522,50.2989697108,65.5133495537,83.1004183227,103.1512558344,125.7516637707,
15.8527941151,24.2313260393,34.4968284922,46.6858680534,60.8302949307,76.958378332,95.0955696785,115.2650415657,137.4880831777,
14.2283597428,21.7137513045,30.8717552287,41.7325178526,54.3222645883,68.6642473014,84.7793804406,102.6866898197,122.4036415858,143.9463908544
12.2545881783,18.9314870552,27.1911960797,37.078772087,48.6337875164,61.8916179114,76.8843138699,93.6412208063,112.1894362729,
13.6984027387,21.2606161707,30.654974622,41.9409646986,55.1710222388,70.3921690009,87.6471247198,106.97509978,128.4123816041,151.9927815047
14.8606934553,23.0182309606,33.1337249488,45.2673566654,59.4720910753,75.795360174,94.2802051133,114.9660893065,137.8894992779,163.0844020869
11.107185173,17.3205740894,25.0724017079,34.4188972559,45.4098084196,58.0898885382,72.4999104379,88.6773911816,106.6571295838,126.4716167654
14.5634792764,22.6794271898,32.7924198547,44.973096892,59.2838889264,75.780907487,94.5152321439,115.5338298639,138.8802363548,
16.7960063677,25.1041200287,35.0788206237,46.7208742281,60.03093652,75.009580731,91.6573161423,109.9746009688,129.9618516959,151.6194500669
16.9831900012,25.2326370531,35.0834133499,46.528265382,59.5610138973,74.176278374,90.3692954648,108.1357929956,127.4718989365,
11.6132853766,17.8445206783,25.5154726143,34.6604870491,45.3096027574,57.4895755899,71.2245694718,86.5366459346,103.4461242901,121.9718547585
17.2866626095,25.7992388386,36.0057112791,47.9047604297,61.4952582483,76.7762195198,93.7467697094,112.4061225905,132.753564043,
16.6620361542,24.894256719,34.7743793607,46.3026286045,59.4791965619,74.3042511437,90.7779414946,108.9004017766,128.6717539111,150.0921096304
13.098725278,19.8867768296,28.1528414614,37.9170732408,49.1969342602,62.0078528478,76.3636639304,92.2769187237,109.7591111071,128.8208482882
15.1062619078,22.3034921907,30.8490269855,40.7297239645,51.9344421092,64.4535215175,78.2784421394,93.4015878457,109.8160765613,127.5156339351
20.4833212549,29.976416759,41.158022622,53.9993620001,68.4762083706,84.5676808454,102.2554587565,121.5232415961,142.3563620433,
16.0116264681,23.9867072207,33.5814883604,44.7998261944,57.6450272325,72.1199866937,88.2272803059,105.9692283391,125.347942075,146.3653586117
16.9026345104,24.8736537527,34.3097205225,45.1925601204,57.5067206225,71.2388340822,86.3771329768,102.9111165785,120.8313111771,140.1290920442
10.0235658989,15.8721830995,23.2708056093,32.2967643509,43.0192990782,55.5013441465,69.8007590265,85.9712162162,104.0628652579,124.1228437133
15.7936719463,23.5242889419,32.7765412534,43.5467202382,55.8316602983,69.6286003494,84.9350923756,101.7489378686,120.0681418451,
16.0254666267,23.9389853184,33.4351028081,44.5138029502,57.1750719322,71.4188976825,87.2452694802,104.6541776822,123.6456135257,
17.0694987685,25.4478309241,35.4835904166,47.1740012022,60.5166920305,75.5095933848,92.1508694084,110.438870562,130.3720993571,
